,noticeID,user,assistant
729,Notice_NO_2161,"To excavate and install and maintain fill to construct new bulkheads and docks, a drainage ditch culvert, a conveyor belt, restore marsh, and perform maintenance dredging, all to serve an existing commercial development.Project implementation will require permanent impacts to 0.67 acres of other waters of the US for the drainage canal and approximately one acre of non-vegetated waterbottoms for bulkheads and backfill, as well as temporary impacts to 0.41 acres of non-vegetated waterbottoms for maintenance dredging.Dredged material will be disposed of in non-wetland areas on site.No impacts to special aquatic sites are required for project implementation; no compensatory mitigation is anticipated at this time.The applicant may be required to fully or partially restore the project site to pre-project conditions, if issuance of a permit is determined not to be in the overall public interest.","{'wetlands': [{'wetland_type': 'other waters of the US', 'impact_quantity': '0.67', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'loss'}, {'wetland_type': 'non-vegetated waterbottoms', 'impact_quantity': '1', 'impact_unit': 'acre', 'impact_duration': 'permanent', 'impact_type': 'loss'}, {'wetland_type': 'non-vegetated waterbottoms', 'impact_quantity': '0.41', 'impact_unit': 'acres', 'impact_duration': 'temporary', 'impact_type': 'loss'}]}"
802,Notice_NO_2234,"To clear, grade, excavate, and install and maintain fill to construct the Pine Creek Area Commercial Site project.The project will include businesses such as an air conditioned self-storage facility, car wash, gas station, and a pharmacy.Project implementation will require approximately 35,224 cubic yards of concrete fill and 61,353 cubic yards of clay fill.Access will be via a culverted crossing off of Louisiana Highway 22.Catch basins will be installed throughout parking lots and reverted to roadside ditches, and a new ditch will be installed along Perrilloux Road.The entire 6.45-acre site will be impacted, including 2.46 acres of forested wetlands and 0.02 acres of Other Waters of the US.The applicant proposes to purchase credits from a mitigation bank to offset any unavoidable losses to wetland functions caused by project implementation.","{'wetlands': [{'wetland_type': 'forested wetlands', 'impact_quantity': '2.46', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'Other Waters of the US', 'impact_quantity': '0.02', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
837,Notice_NO_2270,"The applicant i s requesting aDepartment ofthe Army permit authorization to clear, grade, excavate, place and maintain fill mat erial for the construction of an approximate 54-lot residential subdivision (Tiger Pointe) , near Baton Rouge, Louisiana, w ithin East Baton Rouge Parish .The proposed development would include residential homesites, 2detention ponds, utility and drainage infrastructure and appurtenances, green space areas, and ingress/egress.Approximately 15,000 cubic yards of clean fill material(including 8,645 cubic yards of material excavated onsite for the retention ponds)would be placed as fill in jurisdictional areas during project construction.Approximately 0. 865 acre of jurisdictional forested wetlandswould be directly impacted as a result of project implementation.Approximately 0.03 acre of jurisdictional Other Waters of the United States (OWOUS) w ould be directly impacted as a result of project implementation.The applicant has claimed that the project has been designed to avoid and minimize direct and secondary adverse wetland impacts to the maximum extent practicable.The applicant is proposing to utilize best management practices during and after the construction phase of the project.The applicant is proposing to compensate for the unavoidable impact by purchasing mitigation credits from an approved mitigation bank.","{'wetlands': [{'wetland_type': 'forested wetlands', 'impact_quantity': '0.865', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'Other Waters of the United States (OWOUS)', 'impact_quantity': '0.03', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
890,Notice_NO_2323,"The applicant has requested Department of the Army authorization to clear, grade, excavate and deposit fill and/or aggregate material to construct a new primary school.Approximately, 8,099 cubic yards of fill will be placed on site to achieve required grade elevations and 2,899 cubic yards of material will be excavated and placed onsite to create the detention ponds.The proposed project is situated on a 16.42 acre tract that has been determined to be comprised of 11.07 acres of uplands and 5. 34 acres of herbaceous and forested wetlandsand 0.7 acres of other waters of the U.S. The proposed project will impact 1.8 acres of forested wetlands and 2.05 acresof herbaceouswetlandsand 0.7 acres of waters of the U.S .The applicant has stated that the project has been designed to avoid and minimize direct and secondary adverse impacts to the maximum extent practicable.Ascompensation for the unavoidable wetland impacts, the applic ant proposes to mitigate in-kind wetland credits from a Corps approved mitigation bank located in the watershed.","{'wetlands': [{'wetland_type': 'forested wetlands', 'impact_quantity': '1.8', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'herbaceous wetlands', 'impact_quantity': '2.05', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'waters of the U.S', 'impact_quantity': '0.7', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
1103,Notice_NO_2541,"The proposed bank property totals approximately 179.6 acres of existing agricultural fields(cattle grazing and hay production) and open water (76.9 acres) , and existing forest(102.7 acres).The applicant/sponsor proposes t he re-establishment of 74.0 acres and rehabilitation of 1.7 acres of bottomland hardwood wetlandsand preservation of 102.4 acres of existing forested wetlands .Aspects of the proposed restoration plan include backfilling agricultural field ditches to restore surface hydrology , constru ction of a berm along an existing municipal canal to promote sheetflow in a northerly direction,and planting appropriate vegetation.Specific details of the proposed restoration plan can be found in the attached prospectus.--","{'wetlands': [{'wetland_type': 'bottomland hardwood wetlands', 'impact_quantity': '74.0', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 're-establishment'}, {'wetland_type': 'bottomland hardwood wetlands', 'impact_quantity': '1.7', 'impact_unit': 'acres', 'impact_duration': 'rehabilitation', 'impact_type': 're-establishment'}, {'wetland_type': 'forested wetlands', 'impact_quantity': '102.4', 'impact_unit': 'acres', 'impact_duration': 'preservation', 'impact_type': 'preservation'}]}"
1128,Notice_NO_2566,"The applicant has requested Department of the Army authorization to clear, grade and fill in order to expand an ex isting sand and gravel mining operation in Grangeville, Louisian a.The proposed sand and gra vel pits will encompass approximately 56.5 ac res and will be dug to adepth of 35 feet with 3:1 side slopes.Approximately 47,430 cubic yards of dirt, sand and gravel will be excavated and placed on upland areas of the site.It is anticipated that the proposed activity will impact approximately 1.47 acres of forested wetlands.It is presumed that the applicant has designed the project to a void and minimize direct and secondary adverse impacts tothe maximum extent practicable .As compensation forunavoidable wetland impacts, the applicant proposes to mitigatein-kind wetland credits from a Corps approved mitigat ion bank located in the watershed.","{'wetlands': [{'wetland_type': 'forested', 'impact_quantity': '1.47', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
1185,Notice_NO_2625,"Clear, grade, excavate, and fill to construct a cemetery and funeral home.This project would require permanent impacts to 6.58 acres of forested palustrine wetlands. The applicant proposes to purchase credits from a mitigation bank to offset any unavoidable losses to wetland functions caused by project implementation.This is a second public notice due to changes in the project plans resulting in more wetland impacts than previously proposed.","{'wetlands': [{'wetland_type': 'forested palustrine wetlands', 'impact_quantity': '6.58', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'loss'}]}"
1359,Notice_NO_2800,"The applicant has requested Department of the Army authorization to clear, grade, excavate and depositfill to install and maintain a 12-inch methanol pipeline.Horizontal DirectionalDrilling will be utilized along with trenching and backfilling to install 5,850 linear feet of pipe line.Approximately 2,609 cubic yards will be excavated and backfilled along with approx. 702 cubi c yards of sand material to achieve required grade elevation requirements.Any remaining excavated fill material will be hauled off-site for disposal.The proposed pr oject is situated on an approximately 6,000 linear-foot corridor that has been determined toinclude forested and emergent wetlands and waters of the U.S.Of this, approxim ately 0.59 acres of emergent wetlands and approx. 1.16 acres of forested wetlands would be directly impacted.The remainder of the property will be left in its natural state.It is anticipated that the proposed action would have minimal impact on adjacent wetlands.It is presumed that the applicant has des igned the project to avoid and minimize direct and secondary adverse impacts to the maximum ex tent practicable.Any further reduction would limit usage of the propertyand, therefore function deeming the project impracticable. As compensation for unavoidable wetland impacts , the applicant proposes to mitigate in-kind wetland credits from a Corps approved mitigation bank located in the watershed","{'wetlands': [{'wetland_type': 'emergent wetlands', 'impact_quantity': '0.59', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}, {'wetland_type': 'forested wetlands', 'impact_quantity': '1.16', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
1367,Notice_NO_2808,"Construct the Deer Crossing Subdivisionconsisting of 107 home sites, retention pond , recreational field, walking path, roadways, drainage and utilities.Project implementation will impact 2.55 acres of the 2.71 acres of jurisdictional wetlands.The applicant proposed to contract with an approved mitigation bank in order to offset the adverse impact to jurisdictional wetlands","{'wetlands': [{'wetland_type': 'jurisdictional wetlands', 'impact_quantity': '2.55', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
1375,Notice_NO_2816,"Time Extension requestto conduct clearing, grubbing,and grading operations , construct an approximately 195- foot wide by 900- foot long retention pond and a 115- foot wide by 703- foot long retention pond, and place approximately 30,000 cubic yards of earthen fill material , 9,200 cubic yards of asphalt, and 11,450 cubic yards of concr ete, all to prepare a 20.94 acre site for a multi -home residential development. Approximately 120 single- family homesites and 7 apartment buildings would be constructed.Approximately 20.94 acres of jurisdictional bottomland hardwoods would be permanentlyimpacted via project implementation. Work completed includescompletion of Phase I - Inwood Forest Subdivision, located north of Oak Creek Village and Little Bayou D’Inde.The applicant had previously purchased appropriate mitigation credits from an approved Department of the Army mitigation bank to compensate for all project related wetland impacts .","{'wetlands': [{'wetland_type': 'bottomland hardwoods', 'impact_quantity': '20.94', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'loss'}]}"
